Date,date,Close,sentiment
2018-09-28,2018-09-28,264.769989,0.15640000000000023
2018-10-01,2018-10-01,310.700012,0.0769777777777778
2018-10-02,2018-10-02,301.019989,0.15657962962962982
2018-10-03,2018-10-03,294.799988,0.09742666666666673
2018-10-04,2018-10-04,281.829987,-0.021238888888888897
2018-10-05,2018-10-05,261.950012,-0.03811111111111111
2018-10-08,2018-10-08,250.559998,0.053479629629629585
2018-10-09,2018-10-09,262.799988,0.11236111111111108
2018-10-10,2018-10-10,256.880005,0.1547752525252524
2018-10-11,2018-10-11,252.229996,0.15223055555555556
2018-10-12,2018-10-12,258.77999900000003,0.0282037037037037
2018-10-15,2018-10-15,259.589996,0.06403703703703707
2018-10-16,2018-10-16,276.589996,0.20393755411255413
2018-10-17,2018-10-17,271.77999900000003,0.05562070707070711
2018-10-18,2018-10-18,263.910004,0.13911984685959292
2018-10-19,2018-10-19,260.0,0.20754577801827798
2018-10-22,2018-10-22,260.950012,0.11285959595959597
2018-10-23,2018-10-23,294.140015,0.14716507936507917
2018-10-24,2018-10-24,288.5,0.12990454144620817
2018-10-25,2018-10-25,314.859985,0.1264027777777777
2018-10-26,2018-10-26,330.899994,0.0479315055315055
